numeropedido,data emissao,data entrega prevista,data entrada,codigofornecedor,fornecedor,cidade fornecedor,total itens,valor bruto total itens,situacao pedido,usuario,prazo,codigoprodutoitem,descricao produto,qtd pedido item,qtd bonificacao item,qtd pendente item,preco unitario item,qtd falta item,qtd faturada item,valor desconto item,valor bruto item,valor liquido item,preco unitario liquido item,tipo produto,mes,ano,status pedido,tipo fornecedor
55,12/02/2025,19/03/2025,07/03/2025,8,MEDIX,GARUVA,4,47000.0,fechado pedido chegou,WARLEY,28/35/42/49,4,"LUVA CIR. ESTERIL 7,0 UN",20000,0,0,1.0,20000.0,0,0.0,20000.0,20000.0,1.0,MATERIAL HOSPITALAR,2,2025,recebido,externo
55,12/02/2025,19/03/2025,07/03/2025,8,MEDIX,GARUVA,4,47000.0,fechado pedido chegou,WARLEY,28/35/42/49,5,"LUVA CIR. ESTERIL 7,5 UN",20000,0,0,1.0,20000.0,0,0.0,20000.0,20000.0,1.0,MATERIAL HOSPITALAR,2,2025,recebido,externo
7,30/01/2025,12/02/2025,,3,AMED S/A,CURVELO,2,24921.0,fechado pedido chegou,WARLEY,28/35/42/49,7,"COMPRESSA DE GAZE  LIVIA 13 FIOS 7,5CMX7,5CM  C/10 ENV",50400,0,0,0.39,0.0,50400,0.0,19656.0,19656.0,0.39,MATERIAL HOSPITALAR,1,2025,entrega pendente,externo
15,08/01/2025,12/02/2025,10/02/2025,3,AMED S/A,CURVELO,3,18021.6,fechado pedido chegou,WARLEY,28/35/42/49,10,"COMPRESSA DE GAZE 7,5CMX7,5CM 11 FIOS C/10 LIVIA ENV",20700,0,0,0.38,20700.0,0,0.0,7866.0,7866.0,0.38,MATERIAL HOSPITALAR,1,2025,recebido,externo
6,30/01/2025,12/02/2025,,3,AMED S/A,CURVELO,1,36288.0,fechado pedido chegou,WARLEY,28/35/42/49,10,"COMPRESSA DE GAZE 7,5CMX7,5CM 11 FIOS C/10 LIVIA ENV",100800,0,0,0.36,0.0,100800,0.0,36288.0,36288.0,0.36,MATERIAL HOSPITALAR,1,2025,entrega pendente,externo
24,15/01/2025,20/02/2025,10/02/2025,3,AMED S/A,CURVELO,1,380.0,fechado pedido chegou,WARLEY,28/35/42/49,10,"COMPRESSA DE GAZE 7,5CMX7,5CM 11 FIOS C/10 LIVIA ENV",1000,0,0,0.38,1000.0,0,0.0,380.0,380.0,0.38,MATERIAL HOSPITALAR,1,2025,recebido,externo
116,24/04/2025,24/05/2025,,3,AMED S/A,CURVELO,7,116340.84,aguardando faturamento,NATALIA,40/50/60,10,"COMPRESSA DE GAZE 7,5CMX7,5CM 11 FIOS C/10 LIVIA ENV",100000,0,100000,0.4,0.0,0,0.0,40000.0,40000.0,0.4,MATERIAL HOSPITALAR,4,2025,entrega pendente,externo
44,31/01/2025,20/02/2025,11/02/2025,57,MEDSONDA,FOZ DO IGUACU,10,3845.5,fechado pedido chegou,WARLEY,28/35/42,24,SONDA ASP.TRAQUEAL 14FR UN,1000,0,0,0.83,0.0,1000,0.0,830.0,830.0,0.83,MATERIAL HOSPITALAR,1,2025,recebido,externo
62,24/02/2025,26/02/2025,27/02/2025,7,FARMACE,BARBALHA,3,78516.0,fechado pedido chegou,WARLEY,30/45/60,29,"SOL. CLORETO SODIO 0,9% 10ML UN",60000,0,0,0.2,60000.0,0,0.0,12000.0,12000.0,0.2,MEDICAMENTOS,2,2025,recebido,externo
37,21/01/2025,11/02/2025,31/01/2025,416,PROMEFARMA MEDIC. E PRODUTOS HOSPITALARES LTDA,CURITIBA,2,7620.0,fechado pedido chegou,YAGO,28/35/42,31,DICLOFENACO DE SODIO 25MG/ML (DICLOFARMA) - 3ML AMP,8000,0,0,0.78,0.0,8000,0.0,6240.0,6240.0,0.78,MEDICAMENTOS,1,2025,recebido,externo
62,24/02/2025,26/02/2025,27/02/2025,7,FARMACE,BARBALHA,3,78516.0,fechado pedido chegou,WARLEY,30/45/60,45,AGUA P/INJECAO 10ML AMP UN,40000,0,0,0.21,40000.0,0,0.0,8400.0,8400.0,0.21,MEDICAMENTOS,2,2025,recebido,externo
76,14/03/2025,01/04/2025,04/04/2025,409,STOCK MED,SANTA CRUZ DO SUL,16,184059.0,fechado pedido chegou,WARLEY,30/37/44/51/58/65/72,46,DIPIRONA MONOIDRATADA 500MG/ML 2ML (DIPIFARMA) AMP,30000,0,0,0.59,30000.0,0,0.0,17700.0,17700.0,0.59,MEDICAMENTOS,3,2025,recebido,externo
160,16/04/2025,16/04/2025,28/04/2025,14,VALFARMA,FORTALEZA,43,61064.97,fechado pedido chegou,YAGO,20/30/40/50/60,51,LUVA NITRILICA S/PO AZUL G CX 100 CX CX,20,0,0,25.47,20.0,0,0.0,509.46,509.46,25.47,MATERIAL HOSPITALAR,4,2025,recebido,interno
51,14/02/2025,14/02/2025,07/03/2025,10,TKL,ITAJAI,4,10650.0,fechado pedido chegou,NATALIA,42/49/56,56,TORNEIRA DE 3 VIAS C/LUER LOCK UN,2000,0,0,0.55,2000.0,0,0.0,1100.0,1100.0,0.55,MATERIAL HOSPITALAR,2,2025,recebido,externo
134,23/04/2025,24/04/2025,28/04/2025,14,VALFARMA,FORTALEZA,5,2603.0,fechado pedido chegou,YAGO,20/30,57,"LUVA CIR. ESTERIL 8,0 UN",100,0,0,1.39,100.0,0,0.0,139.0,139.0,1.39,MATERIAL HOSPITALAR,4,2025,recebido,interno
183,11/04/2025,25/04/2025,30/04/2025,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,5,11867.92,fechado pedido chegou,NATALIA,30/45/60,58,LAMINA DE BISTURI N.11 C/100 CX,50,0,0,20.91,50.0,0,0.0,1045.63,1100.0,20.91,MATERIAL HOSPITALAR,4,2025,recebido,externo
115,03/04/2025,05/04/2025,28/04/2025,410,NOVA MED DISTRIBUIDORA LTDA,FORTALEZA,10,10931.77,fechado pedido chegou,NATALIA,30/60,65,SIMETICONA 75MG/ML GTS 15ML FRS FRS,21,0,0,14.45,21.0,0,250.41,303.45,53.04,2.53,MEDICAMENTOS,4,2025,recebido,interno
76,14/03/2025,01/04/2025,04/04/2025,409,STOCK MED,SANTA CRUZ DO SUL,16,184059.0,fechado pedido chegou,WARLEY,30/37/44/51/58/65/72,69,METOCLOPRAMIDA INJ 10MG/2ML AMP,7000,0,0,0.59,7000.0,0,0.0,4130.0,4130.0,0.59,MEDICAMENTOS,3,2025,recebido,externo
36,22/01/2025,12/02/2025,14/02/2025,65,DESCARBOX,DIADEMA,2,12356.0,fechado pedido chegou,WARLEY,28/35/42/49,71,COLETOR PERFURO CORTANTE 13 LTS UN,2500,0,0,4.68,0.0,2500,0.0,11700.0,11700.0,4.68,MATERIAL HOSPITALAR,1,2025,recebido,externo
87,19/03/2025,19/04/2025,28/03/2025,65,DESCARBOX,DIADEMA,4,14975.0,fechado pedido chegou,WARLEY,28/35/42/49,71,COLETOR PERFURO CORTANTE 13 LTS UN,2700,0,0,4.68,2700.0,0,0.0,12636.0,12636.0,4.68,MATERIAL HOSPITALAR,3,2025,recebido,externo
178,29/04/2025,29/05/2025,,246,CIRURGICA FERNANDES,SANTANA DE PARNAIBA,24,192714.48,aguardando faturamento,NATALIA,30/45/60,71,COLETOR PERFURO CORTANTE 13 LTS UN,100,0,100,4.3,0.0,0,0.0,430.0,430.0,4.3,MATERIAL HOSPITALAR,4,2025,entrega pendente,externo
